Index,SO2-1,oxyHb-1,deoxyHb-1
0,63.5,283.6,163.3
1,65.1,285.2,153.1
2,61.3,279.1,176.2
3,60.6,274.5,178.2
4,63.8,289.1,164.4
5,62.4,274.8,165.5
6,65.7,292.8,153
7,62.2,280.3,170.3
8,60.4,273.3,178.9
9,60,284.4,189.8
10,57.4,282.8,210
11,70.4,357.9,150.5
12,70.1,417.9,178.1
13,67.2,265.3,129.6
14,76,430.6,135.9
15,63,250.9,147.1
16,60.7,255.9,165.7
17,55.6,219,175.1
18,50,191.1,191.5
19,60.2,240.1,159
20,33.6,146.7,290.5
21,59.1,226.3,156.4
22,59.9,271,181.2
23,51.4,278.7,263.5
24,59.6,261.8,177.8
25,57.1,242.1,181.8
26,57.3,240.5,179.6
27,55.7,234.2,186.4
28,54.3,228.5,192.4
29,58.4,249.1,177.2
30,54.6,225.5,187.3
31,55.7,225.8,179.7
32,54.4,221.2,185.7
33,53.2,218.3,192.4
34,56.9,246.1,186.2
35,52.6,217.4,196.1
36,55.4,211.1,170.1
37,53.8,214.3,184.3
38,50.9,201.2,194.5
39,54.5,220.7,184.1
40,55.2,211.5,171.9
41,53.8,200.2,171.6
42,52.5,201.5,182.3
43,52.8,200.3,179
44,53.9,204.7,175.1
45,52.1,193.4,177.8
46,54.9,200.4,164.4
47,52.8,194.2,173.9
48,50.5,185.2,181.7
49,53,197.1,175.1
50,53.5,198.3,172.5
51,54.2,199.4,168.4
52,54.4,202.8,170.2
53,53,196.9,174.6
54,54.1,200.6,170.3
55,51.2,192,182.6
56,55.1,201.8,164.6
57,53.7,199.2,171.5
58,50.2,184.8,183.7
59,53.2,198.9,174.6
60,53.6,198.5,171.7
61,52.4,197,179.2
62,56.1,213.2,167.1
63,55.1,205.5,167.7
64,55.3,209.5,169.3
65,57,214.9,162
66,52.3,196.1,178.8
67,56.1,211.5,165.5
68,58,219.4,158.9
69,57,214.4,161.5
70,59.6,225.2,152.4
71,57.8,219.1,159.7
72,59,224.9,156.1
73,60,230.2,153.4
74,56.3,215.2,167
75,59.4,221.4,151
